2026-03-14 16:12:10 | INFO | app | GET /dashboard
2026-03-14 16:12:13 | INFO | app | GET /
2026-03-14 16:12:13 | INFO | app | GET / -> 307
2026-03-14 16:12:13 | INFO | app | GET /dashboard
2026-03-14 16:13:26 | INFO | app | GET /
2026-03-14 16:13:26 | INFO | app | GET / -> 307
2026-03-14 16:13:26 | INFO | app | GET /dashboard
2026-03-14 16:13:26 | INFO | app | GET /dashboard -> 200
2026-03-14 16:13:26 | INFO | app | GET /static/dashboard.css
2026-03-14 16:13:26 | INFO | app | GET /static/dashboard.css -> 200
2026-03-14 16:13:26 | INFO | app | GET /uploads/69741751_20260314150227.jpeg
2026-03-14 16:13:26 | INFO | app | GET /uploads/69741751_20260314150227.jpeg -> 304
2026-03-14 16:25:41 | INFO | app | GET /
2026-03-14 16:25:41 | INFO | app | GET / -> 307
2026-03-14 16:25:41 | INFO | app | GET /dashboard
2026-03-14 16:25:41 | INFO | app | GET /dashboard -> 200
2026-03-14 16:25:41 | INFO | app | GET /static/dashboard.css
2026-03-14 16:25:41 | INFO | app | GET /uploads/69741751_20260314150227.jpeg
2026-03-14 16:25:42 | INFO | app | GET /static/dashboard.css -> 200
2026-03-14 16:25:42 | INFO | app | GET /uploads/69741751_20260314150227.jpeg -> 304
2026-03-14 16:34:21 | INFO | app | GET /dashboard
2026-03-14 16:34:21 | INFO | app | GET /dashboard -> 200
2026-03-14 16:34:21 | INFO | app | GET /static/css/dashboard.css
2026-03-14 16:34:21 | INFO | app | GET /static/css/dashboard.css -> 200
2026-03-14 16:34:21 | INFO | app | GET /static/js/dashboard.js
2026-03-14 16:34:21 | INFO | app | GET /uploads/69741751_20260314150227.jpeg
2026-03-14 16:34:21 | INFO | app | GET /static/js/dashboard.js -> 200
2026-03-14 16:34:21 | INFO | app | GET /uploads/69741751_20260314150227.jpeg -> 304
2026-03-14 16:35:02 | INFO | app | POST /v1/enroll
2026-03-14 16:35:03 | INFO | app | POST /v1/enroll -> 200
2026-03-14 16:35:03 | INFO | app | GET /dashboard
2026-03-14 16:35:03 | INFO | app | GET /dashboard -> 200
2026-03-14 16:35:03 | INFO | app | GET /static/css/dashboard.css
2026-03-14 16:35:03 | INFO | app | GET /uploads/6974175_20260314163503.jpeg
2026-03-14 16:35:03 | INFO | app | GET /static/js/dashboard.js
2026-03-14 16:35:03 | INFO | app | GET /static/css/dashboard.css -> 304
2026-03-14 16:35:03 | INFO | app | GET /uploads/6974175_20260314163503.jpeg -> 200
